0,1,2,3,4,5,6,7,8,9,10,11
146,EQT,EQT Corporation,https://stockanalysis.com/stocks/eqt/,7.34,5.29,$0.63 (1.63%),1925,211.56%,38.72,"1,246,350",15.93B
147,AMPH,"Amphastar Pharmaceuticals, Inc.",https://stockanalysis.com/stocks/amph/,2.55,24.10,n/a,2014,210.75%,61.97,"269,338",2.97B
148,KRTX,"Karuna Therapeutics, Inc.",https://stockanalysis.com/stocks/krtx/,-10.93,n/a,n/a,2019,210.30%,316.43,"885,420",11.99B
149,PANL,"Pangaea Logistics Solutions, Ltd.",https://stockanalysis.com/stocks/panl/,0.89,9.25,$0.40 (4.86%),1996,209.81%,8.23,"219,152",382.37M
150,HRB,"H&R Block, Inc.",https://stockanalysis.com/stocks/hrb/,3.48,13.99,$1.28 (2.65%),1955,209.49%,48.36,"385,458",6.96B
151,TWI,"Titan International, Inc.",https://stockanalysis.com/stocks/twi/,1.95,7.57,n/a,1993,208.20%,14.96,"141,213",925.87M
152,JBL,Jabil Inc.,https://stockanalysis.com/stocks/jbl/,5.86,21.64,$0.32 (0.25%),1993,205.76%,128.02,"1,027,447",16.46B
153,PWR,"Quanta Services, Inc.",https://stockanalysis.com/stocks/pwr/,4.69,45.98,$0.36 (0.17%),1998,204.99%,215.96,"209,206",31.38B
154,MHO,"M/I Homes, Inc.",https://stockanalysis.com/stocks/mho/,17.23,8.04,n/a,1986,204.61%,138.60,"126,324",3.86B
155,HCC,"Warrior Met Coal, Inc.",https://stockanalysis.com/stocks/hcc/,8.65,7.06,$0.28 (0.46%),2017,203.31%,61.30,"127,743",3.19B
156,CPG,Crescent Point Energy Corp.,https://stockanalysis.com/stocks/cpg/,-1.20,n/a,$0.36 (5.18%),Craig Bryksa,203.04%,6.95,"2,318,225",4.35B
157,VOC,VOC Energy Trust,https://stockanalysis.com/stocks/voc/,-0.26,n/a,$0.90 (12.38%),2011,202.91%,7.27,"44,661",123.59M
158,EOLS,"Evolus, Inc.",https://stockanalysis.com/stocks/eols/,-1.12,n/a,n/a,2018,201.47%,10.40,"183,332",593.80M
159,MGY,Magnolia Oil & Gas Corporation,https://stockanalysis.com/stocks/mgy/,2.72,7.84,$0.46 (2.16%),2017,200.91%,21.34,"1,009,313",4.42B
160,POWL,"Powell Industries, Inc.",https://stockanalysis.com/stocks/powl/,4.50,19.31,$1.05 (1.19%),1947,200.53%,88.59,"48,119",1.06B
141,ASO,"Academy Sports and Outdoors, Inc.",https://stockanalysis.com/stocks/aso/,6.46,10.26,$0.36 (0.54%),2020,200.05%,61.54,"119,373",3.21B
162,NMM,Navios Maritime Partners L.P.,https://stockanalysis.com/stocks/nmm/,14.41,2.05,$0.20 (0.71%),2007,199.36%,28.01,"74,421",845.47M
163,DVAX,Dynavax Technologies Corporation,https://stockanalysis.com/stocks/dvax/,0.40,35.45,n/a,2004,198.72%,13.99,"476,700",1.81B
164,IMO,Imperial Oil Limited,https://stockanalysis.com/stocks/imo/,6.71,8.40,$1.48 (2.60%),1880,198.42%,57.03,"166,940",30.59B
165,EGLE,Eagle Bulk Shipping Inc.,https://stockanalysis.com/stocks/egle/,2.61,21.23,$1.38 (2.49%),2005,197.46%,55.42,"76,206",550.44M
166,CECO,CECO Environmental Corp.,https://stockanalysis.com/stocks/ceco/,0.50,40.63,n/a,1966,196.81%,20.32,"83,916",703.23M
167,COP,Conoco Phillips,https://stockanalysis.com/stocks/cop/,9.18,12.65,$2.32 (2.00%),1917,196.72%,116.04,"2,032,462",137.75B
168,SCX,The L.S. Starrett Company,https://stockanalysis.com/stocks/scx/,3.04,4.03,n/a,1880,196.72%,12.08,"14,223",89.20M
169,PRTA,Prothena Corporation plc,https://stockanalysis.com/stocks/prta/,-1.38,n/a,n/a,2012,196.43%,36.50,"422,996",1.96B
170,RYI,Ryerson Holding Corporation,https://stockanalysis.com/stocks/ryi/,2.76,12.63,$0.74 (2.12%),1842,196.39%,34.99,"62,360",1.20B
171,X,United States Steel Corporation,https://stockanalysis.com/stocks/x/,4.65,10.50,$0.20 (0.41%),1901,196.38%,48.79,"2,393,556",10.89B
172,CWCO,Consolidated Water Co. Ltd.,https://stockanalysis.com/stocks/cwco/,1.34,26.51,$0.38 (1.06%),1973,196.08%,35.75,"91,818",563.13M
173,DVN,Devon Energy Corporation,https://stockanalysis.com/stocks/dvn/,5.86,7.70,$0.80 (1.77%),1971,195.30%,45.15,"5,754,981",28.93B
174,TROO,"TROOPS, Inc.",https://stockanalysis.com/stocks/troo/,-0.01,n/a,n/a,2005,194.29%,2.99,"12,997",307.84M
175,ANVS,"Annovis Bio, Inc.",https://stockanalysis.com/stocks/anvs/,-4.27,n/a,n/a,2020,194.24%,18.91,"329,922",194.06M
176,VRNA,Verona Pharma plc,https://stockanalysis.com/stocks/vrna/,-0.56,n/a,n/a,2017,193.54%,20.02,"632,939",1.60B
177,NVO,Novo Nordisk A/S,https://stockanalysis.com/stocks/nvo/,2.48,41.85,$0.74 (0.71%),1923,192.82%,103.48,"1,698,423",460.22B
